show,episode,season,country,channel,date,link
At the Moment (Ci Shi Ci Ke),5,1,Etats-Unis,Netflix,10-11-2023,episode05-411678-10112023-saison1-At-the-Moment-(Ci-Shi-Ci-Ke).html
At the Moment (Ci Shi Ci Ke),6,1,Etats-Unis,Netflix,10-11-2023,episode06-411679-10112023-saison1-At-the-Moment-(Ci-Shi-Ci-Ke).html
At the Moment (Ci Shi Ci Ke),7,1,Etats-Unis,Netflix,10-11-2023,episode07-411680-10112023-saison1-At-the-Moment-(Ci-Shi-Ci-Ke).html
At the Moment (Ci Shi Ci Ke),8,1,Etats-Unis,Netflix,10-11-2023,episode08-411681-10112023-saison1-At-the-Moment-(Ci-Shi-Ci-Ke).html
At the Moment (Ci Shi Ci Ke),9,1,Etats-Unis,Netflix,10-11-2023,episode09-411682-10112023-saison1-At-the-Moment-(Ci-Shi-Ci-Ke).html
At the Moment (Ci Shi Ci Ke),10,1,Etats-Unis,Netflix,10-11-2023,episode10-411683-10112023-saison1-At-the-Moment-(Ci-Shi-Ci-Ke).html
Bosch: Legacy,9,2,Etats-Unis,Amazon Freevee,10-11-2023,episode09-409715-10112023-saison2-Bosch-Legacy.html
Bosch: Legacy,10,2,Etats-Unis,Amazon Freevee,10-11-2023,episode10-409716-10112023-saison2-Bosch-Legacy.html
Fellow Travelers,3,1,Etats-Unis,Showtime,10-11-2023,episode03-411068-10112023-saison1-Fellow-Travelers.html
For All Mankind,1,4,Etats-Unis,Apple TV+,10-11-2023,episode01-410205-10112023-saison4-For-All-Mankind.html
Goosebumps (2023),9,1,Etats-Unis,Disney+,10-11-2023,episode09-409986-10112023-saison1-Goosebumps-(2023).html
Invincible,2,2,Etats-Unis,Prime Video,10-11-2023,episode02-411873-10112023-saison2-Invincible.html
Lessons In Chemistry,6,1,Etats-Unis,Apple TV+,10-11-2023,episode06-406602-10112023-saison1-Lessons-In-Chemistry.html
NCIS: Sydney,1,1,Etats-Unis,Paramount+,10-11-2023,episode01-410215-10112023-saison1-NCIS-Sydney.html
Power Book IV: Force,10,2,Etats-Unis,Starz,10-11-2023,episode10-411348-10112023-saison2-Power-Book-IV-Force.html
Shining Vale,5,2,Etats-Unis,Starz,10-11-2023,episode05-411127-10112023-saison2-Shining-Vale.html
SOKO Leipzig,12,24,Allemagne,ZDF,10-11-2023,episode12-411900-10112023-saison24-SOKO-Leipzig.html
Solsidan,8,8,Suède,TV4,10-11-2023,episode08-411758-10112023-saison8-Solsidan.html
The Curse (2023),1,1,Etats-Unis,Showtime on Demand,10-11-2023,episode01-410727-10112023-saison1-The-Curse-(2023).html
The Good Ship Murder,5,1,Royaume-Uni,Channel 5,10-11-2023,episode05-411246-10112023-saison1-The-Good-Ship-Murder.html
Transplant,6,4,Canada,CTV,10-11-2023,episode06-409842-10112023-saison4-Transplant.html
Upload,7,3,Etats-Unis,Prime Video,10-11-2023,episode07-410016-10112023-saison3-Upload.html
Upload,8,3,Etats-Unis,Prime Video,10-11-2023,episode08-410017-10112023-saison3-Upload.html
All Rise,19,3,Etats-Unis,OWN,11-11-2023,episode19-411550-11112023-saison3-All-Rise.html
Beacon 23,1,1,Etats-Unis,Epix,12-11-2023,episode01-410617-12112023-saison1-Beacon-23.html
Bob's Burgers,6,14,Etats-Unis,Fox,12-11-2023,episode06-411551-12112023-saison14-Bob-s-Burgers.html
Entre Tierras,10,1,Espagne,ATRESplayer,12-11-2023,episode10-410976-12112023-saison1-Entre-Tierras.html
Family Guy,5,22,Etats-Unis,Fox,12-11-2023,episode05-411552-12112023-saison22-Family-Guy.html
Fear the Walking Dead,10,8,Etats-Unis,AMC,12-11-2023,episode10-408757-12112023-saison8-Fear-the-Walking-Dead.html
Heartland (CA),7,17,Canada,CBC,12-11-2023,episode07-411620-12112023-saison17-Heartland-(CA).html
Krapopolis,8,1,Etats-Unis,Fox,12-11-2023,episode08-410873-12112023-saison1-Krapopolis.html
Les Mystères de l'amour,14,33,France,TMC,12-11-2023,episode14-411488-12112023-saison33-Les-Mysteres-de-l-amour.html
Rick and Morty,5,7,Etats-Unis,Adult Swim,12-11-2023,episode05-411273-12112023-saison7-Rick-and-Morty.html
SkyMed,7,2,Canada,CBC Gem,12-11-2023,episode07-411756-12112023-saison2-SkyMed.html
The Gilded Age,3,2,Etats-Unis,HBO,12-11-2023,episode03-411128-12112023-saison2-The-Gilded-Age.html
The Simpsons,6,35,Etats-Unis,Fox,12-11-2023,episode06-411615-12112023-saison35-The-Simpsons.html
Acting Good,5,2,Canada,The Comedy Network,13-11-2023,episode05-411300-13112023-saison2-Acting-Good.html
American Dad!,17,19,Etats-Unis,TBS (US),13-11-2023,episode17-411621-13112023-saison19-American-Dad.html
Andy and the Band,1,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode01-411499-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,2,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode02-411500-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,3,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode03-411501-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,4,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode04-411502-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,5,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode05-411503-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,6,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode06-411504-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,7,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode07-411505-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,8,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode08-411506-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,9,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode09-411507-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,10,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode10-411508-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,11,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode11-411509-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,12,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode12-411510-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,13,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode13-411511-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,14,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode14-411512-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,15,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode15-411513-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,16,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode16-411514-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,17,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode17-411515-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,18,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode18-411516-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,19,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode19-411517-13112023-saison3-Andy-and-the-Band.html
Andy and the Band,20,3,Royaume-Uni,BBC iPlayer,13-11-2023,episode20-411518-13112023-saison3-Andy-and-the-Band.html
D'argent et de sang,6,1,France,Canal+,13-11-2023,episode06-411406-13112023-saison1-D-argent-et-de-sang.html
Murdoch Mysteries,7,17,Canada,Citytv,13-11-2023,episode07-411520-13112023-saison17-Murdoch-Mysteries.html
SOKO Potsdam,8,6,Allemagne,ZDF,13-11-2023,episode08-411469-13112023-saison6-SOKO-Potsdam.html
The Irrational,8,1,Etats-Unis,NBC,13-11-2023,episode08-409867-13112023-saison1-The-Irrational.html
A Murder at the End of the World,1,1,Etats-Unis,Hulu,14-11-2023,episode01-407977-14112023-saison1-A-Murder-at-the-End-of-the-World.html
A Murder at the End of the World,2,1,Etats-Unis,Hulu,14-11-2023,episode02-407978-14112023-saison1-A-Murder-at-the-End-of-the-World.html
DNA do Crime,1,1,Etats-Unis,Netflix,14-11-2023,episode01-411653-14112023-saison1-DNA-do-Crime.html
Found,7,1,Etats-Unis,NBC,14-11-2023,episode07-409898-14112023-saison1-Found.html
Suburræterna,1,1,Etats-Unis,Netflix,14-11-2023,episode01-410618-14112023-saison1-Suburraeterna.html
Black Cake,5,1,Etats-Unis,Hulu,15-11-2023,episode05-410151-15112023-saison1-Black-Cake.html
Chucky,7,3,Etats-Unis,Syfy,15-11-2023,episode07-409120-15112023-saison3-Chucky.html
Deutsches Haus,1,1,Etats-Unis,Disney+,15-11-2023,episode01-409989-15112023-saison1-Deutsches-Haus.html
Hotel Mondial,7,2,Allemagne,ZDF,15-11-2023,episode07-411893-15112023-saison2-Hotel-Mondial.html
Informacja zwrotna,1,1,Etats-Unis,Netflix,15-11-2023,episode01-411685-15112023-saison1-Informacja-zwrotna.html
Inspirez expirez,8,1,Canada,CraveTV,15-11-2023,episode08-411702-15112023-saison1-Inspirez-expirez.html
Inspirez expirez,9,1,Canada,CraveTV,15-11-2023,episode09-411703-15112023-saison1-Inspirez-expirez.html
Inspirez expirez,10,1,Canada,CraveTV,15-11-2023,episode10-411704-15112023-saison1-Inspirez-expirez.html
Magnum P.I. (2018),16,5,Etats-Unis,NBC,15-11-2023,episode16-410796-15112023-saison5-Magnum-PI-(2018).html
Quantum Leap (2022),6,2,Etats-Unis,NBC,15-11-2023,episode06-410801-15112023-saison2-Quantum-Leap-(2022).html
Robyn Hood,8,1,Canada,Global,15-11-2023,episode08-411855-15112023-saison1-Robyn-Hood.html
Sahsiyet,1,2,Turquie,Puhu TV,15-11-2023,episode01-411854-15112023-saison2-Sahsiyet.html
Shetland,3,8,Royaume-Uni,BBC One,15-11-2023,episode03-411755-15112023-saison8-Shetland.html
SurrealEstate,7,2,Etats-Unis,Syfy,15-11-2023,episode07-410934-15112023-saison2-SurrealEstate.html
The Buccaneers (2023),4,1,Etats-Unis,Apple TV+,15-11-2023,episode04-409070-15112023-saison1-The-Buccaneers-(2023).html
